lat,lon,wheelchair
52.5041896,13.3852437,unknown
52.5030465,13.3665504,no
52.5036888,13.3959579,unknown
52.503788,13.380411,yes
52.5018517,13.3852631,yes
52.503503,13.3661978,unknown
52.5033771,13.36579,yes
52.5026867,13.3741743,unknown
52.5041463,13.3812523,limited
52.5034886,13.4375537,unknown
52.5031523,13.4695776,yes
52.5036404,13.4472269,no
52.5035722,13.4392437,no
52.5040123,13.4206631,unknown
52.5027679,13.4390291,no
52.5038936,13.4538112,limited
52.5034361,13.4472824,unknown
52.504164,13.4508244,yes
52.5032834,13.453492,no
52.5030859,13.4544277,yes
52.5028638,13.4543186,limited
52.5031679,13.4473714,unknown
52.5029837,13.4891438,no
52.503197,13.4914514,limited
52.503966,13.4727963,yes
52.5028556,13.4799764,no
52.5032338,13.4806506,no
52.5034483,13.4298539,unknown
52.3478058,13.6652261,unknown
52.41617,13.4953978,yes
52.3889786,13.4985679,yes
52.4153535,13.477727,no
52.3993935,13.5163811,unknown
52.3571373,13.6313344,yes
52.3529123,13.6329005,limited
52.3645909,13.5551679,limited
52.3584966,13.1372142,unknown
52.3582619,13.0981281,yes
52.4206302,13.165528,yes
52.383862,13.1539386,unknown
52.3846142,13.1510687,yes
52.3979214,13.1456997,no
52.3493419,13.1033051,yes
52.3494339,13.1032393,yes
52.3894439,13.0917121,unknown
52.3916114,13.1004853,no
52.3911788,13.0944601,no
52.3892203,13.1007191,no
52.3923981,13.103264,unknown
52.3920755,13.0995665,unknown
52.387044,13.1031719,no
52.3863836,13.1061329,no
52.3915427,13.1041104,yes
52.3899925,13.1052059,no
52.3900857,13.0977479,yes
52.3910416,13.0989852,yes
52.3873434,13.1018918,unknown
52.391555,13.0942335,limited
52.3918838,13.0953343,yes
52.3918046,13.0921731,no
52.3890798,13.0930102,unknown
52.3861284,13.1013719,unknown
52.3869394,13.1030194,unknown
52.3921356,13.0917481,no
52.3985959,13.1347772,limited
52.3983611,13.1180306,unknown
52.3875313,13.1224587,yes
52.3948473,13.1014643,no
52.38892,13.129835,yes
52.3891759,13.1299287,yes
52.3947537,13.1025332,unknown
52.3948464,13.1024673,limited
52.3985897,13.102178,unknown
52.3763651,13.1256851,no
52.3790283,13.1220224,unknown
52.3857391,13.1162646,unknown
52.3855418,13.1164395,unknown
52.3902885,13.1282618,yes
52.3777883,13.1316481,no
52.3869139,13.1337819,unknown
52.3916356,13.0910788,no
52.3913417,13.0912435,limited
52.3912107,13.0912196,yes
52.3917023,13.0914517,limited
52.3922886,13.0913176,limited
52.3912729,13.0912019,yes
52.3904808,13.0906768,no
52.389705,13.0906647,no
52.3920687,13.0887132,no
52.3908919,13.0908793,no
52.3919732,13.0912902,yes
52.3921466,13.0911937,unknown
52.3918372,13.092035,yes
52.3920027,13.0917965,unknown
52.3920291,13.0910777,no
52.3918013,13.0915151,no
52.3927973,13.0921318,limited
52.5004108,13.612137,unknown
52.4965049,13.6192556,unknown
52.4846548,13.6284747,unknown
52.4963645,13.6193012,unknown
52.4822837,13.5857701,unknown
52.4827429,13.584743,unknown
52.4807827,13.5887485,unknown
52.480921,13.5882509,unknown
52.4783813,13.5935529,unknown
52.4789485,13.6038735,unknown
52.4779573,13.5941483,unknown
52.4780853,13.6100899,unknown
52.4754075,13.5992601,unknown
52.4754986,13.5993084,unknown
52.5007933,13.6206893,unknown
52.4801768,13.623331,unknown
52.5005432,13.6205149,unknown
52.4912581,13.5972373,unknown
52.5006682,13.436245,yes
52.5006932,13.4316156,limited
52.5014254,13.4812228,yes
52.5018488,13.4935612,unknown
52.5016211,13.4932272,unknown
52.4991725,13.4970016,yes
52.5018406,13.478343,unknown
52.5017072,13.4780387,unknown
52.498672,13.5006768,unknown
52.4985762,13.5014216,unknown
52.5002749,13.495667,unknown
52.4976442,13.5030615,yes
52.5009647,13.499369,yes
52.5037697,13.4733672,yes
52.5039875,13.4810869,no
52.5038713,13.4816837,no
52.504447,13.4792013,no
52.4685507,13.5543359,yes
52.4710833,13.5652273,unknown
52.4926087,13.5698993,unknown
52.4927002,13.5698813,unknown
52.488566,13.5606526,unknown
52.4887997,13.5604846,unknown
52.4796803,13.5596281,unknown
52.4946591,13.5551159,unknown
52.4946103,13.5549477,unknown
52.4980019,13.5557282,unknown
52.4704744,13.5655613,unknown
52.493264,13.5766494,no
52.4975967,13.5780504,no
52.4979613,13.576961,yes
52.499754,13.5791892,no
52.4987276,13.5786586,no
52.4976402,13.5794417,no
52.4653884,13.5484949,unknown
52.4640973,13.5469131,yes
52.4655314,13.5458246,unknown
52.4657094,13.6987508,unknown
52.4828362,13.7030923,unknown
52.468284,13.5142024,limited
52.4967678,13.5097342,unknown
52.4869734,13.5159614,unknown
52.4895218,13.5102632,unknown
52.4919523,13.5137694,yes
52.4670315,13.5105961,unknown
52.4963334,13.5059126,unknown
52.4954322,13.508483,unknown
52.4760089,13.5094682,no
52.4949893,13.5144862,unknown
52.497942,13.5098391,unknown
52.4959225,13.5093039,unknown
52.4962747,13.5102433,unknown
52.485491,13.5366685,unknown
52.4865021,13.538781,unknown
52.4917118,13.5340783,unknown
52.4975199,13.521561,yes
52.4864913,13.5265088,yes
52.4866452,13.5272764,no
52.4857307,13.526982,limited
52.4842635,13.5265451,unknown
52.4863061,13.5350233,unknown
52.4900055,13.527666,yes
52.4747532,13.5241898,yes
52.4875352,13.5393915,yes
52.4976869,13.5221075,yes
52.4870587,13.5238549,limited
52.4929742,13.5344605,yes
52.4926049,13.5324625,unknown
52.4989912,13.5272161,yes
52.5016278,13.5326143,yes
52.496397,13.5361285,unknown
52.4972793,13.5239613,no
52.4804671,13.527279,yes
52.4662953,13.4684224,unknown
52.4741624,13.4532364,unknown
52.4904535,13.4927791,unknown
52.4794372,13.4516005,unknown
52.4671181,13.4891721,no
52.4671577,13.4892251,no
52.4809299,13.488641,unknown
52.5044554,13.4766114,no
52.4938868,13.4977302,yes
52.403142,13.0932798,unknown
52.40298,13.0926721,unknown
52.3461962,13.1063109,unknown
52.4441803,13.2410362,unknown
52.4380063,13.2331596,unknown
52.4383177,13.2327133,limited
52.4403047,13.2364356,unknown
52.4399985,13.2362525,unknown
52.4430709,13.2402019,unknown
52.4429909,13.2405971,unknown
52.4497875,13.250872,unknown
52.45027,13.2515053,yes
52.4458169,13.2428177,unknown
52.4465899,13.2432263,unknown
52.4349895,13.2596238,yes
52.4426797,13.2409234,yes
52.4364071,13.2609011,unknown
52.442337,13.240167,yes
52.4374697,13.2319433,unknown
52.437065,13.2622014,yes
52.437868,13.2153011,no
52.4391996,13.2142934,unknown
52.4390629,13.2146898,yes
52.4387973,13.2147566,limited
52.4398995,13.2137084,no
52.4510947,13.1484204,unknown
52.4244424,13.1163106,yes
52.453963,13.144791,unknown
52.4516871,13.133681,unknown
52.45976,13.1146404,unknown
52.4551567,13.1444131,yes
52.4499741,13.1450918,unknown
52.4580487,13.1383016,unknown
52.4585433,13.1378799,unknown
52.4618036,13.1334046,unknown
52.4615012,13.1340055,unknown
52.4625371,13.159119,unknown
52.4508283,13.1466473,limited
52.4528593,13.1430094,yes
52.4512888,13.1468189,yes
52.4516006,13.1470106,limited
52.4615729,13.1016324,unknown
52.4324459,13.143145,no
52.3611447,13.1105352,unknown
52.3619684,13.1370913,unknown
52.3595736,13.0974766,unknown
52.3600271,13.097633,unknown
52.361568,13.1351079,unknown
52.3646443,13.0998486,unknown
52.3699458,13.1300549,yes
52.3668108,13.1120761,unknown
52.3666031,13.1292635,yes
52.3639157,13.1281338,limited
52.3613809,13.1366578,yes
52.3694367,13.1411656,yes
52.3618119,13.1344964,yes
52.3613999,13.1362972,yes
52.3632272,13.137348,no
52.3702676,13.140488,yes
52.3681465,13.1387855,unknown
52.3630328,13.1352186,unknown
52.3629972,13.1364801,unknown
52.3698946,13.1419206,yes
52.485958,13.3371714,no
52.4847069,13.3354779,unknown
52.4869944,13.3447655,no
52.4881571,13.3352804,unknown
52.4802218,13.3365231,limited
52.4722257,13.3364037,limited
52.4785175,13.3292625,limited
52.4789501,13.333047,unknown
52.4788417,13.330935,limited
52.4875312,13.3306593,no
52.4875651,13.3316612,no
52.4869553,13.330695,no
52.4871776,13.331346,no
52.4683322,13.3315785,unknown
52.4855545,13.3366726,unknown
52.4634186,13.4046587,yes
52.4635744,13.4033203,yes
52.4634644,13.4013842,yes
52.4629898,13.3854966,yes
52.500295,13.3017312,unknown
52.5013905,13.2598867,unknown
52.500043,13.3064744,no
52.5015331,13.3466267,unknown
52.5006498,13.3120068,unknown
52.5004328,13.3126396,unknown
52.5004448,13.307244,unknown
52.5010058,13.3273246,yes
52.5003346,13.3084539,unknown
52.5001278,13.3121555,yes
52.501026,13.3132273,unknown
52.5002221,13.3128289,unknown
52.5007186,13.306304,unknown
52.5009439,13.3365002,no
52.5006716,13.3371858,no
52.500065,13.3355615,no
52.5005059,13.3094734,no
52.5003068,13.3073526,no
52.5015112,13.2604007,unknown
52.5011402,13.3077517,unknown
52.5007688,13.2963409,unknown
52.5014909,13.2970575,unknown
52.4989003,13.3230448,unknown
52.4991119,13.3441581,unknown
52.4988296,13.3230369,unknown
52.4996722,13.3026338,unknown
52.4996806,13.3124864,unknown
52.499653,13.3066061,limited
52.4990729,13.3445697,yes
52.4990978,13.3443119,unknown
52.4997558,13.306584,no
52.4998873,13.3050399,unknown
52.4992253,13.3534898,yes
52.4987072,13.2987243,yes
52.4992112,13.3016415,limited
52.4994251,13.3628505,unknown
52.5000343,13.3628407,unknown
52.4994084,13.3068508,unknown
52.4995922,13.3358491,no
52.4998954,13.3076495,no
52.4988369,13.2994295,yes
52.4809419,13.3133333,no
52.4668981,13.328443,no
52.4668976,13.3281809,no
52.4866232,13.3193947,limited
52.4773237,13.3280418,no
52.477381,13.3289335,no
52.479087,13.3279701,no
52.4856563,13.3568344,yes
52.4869117,13.3503741,limited
52.4856469,13.3561779,yes
52.4857277,13.3560276,yes
52.4821064,13.3483161,no
52.4818884,13.3488522,yes
52.4874226,13.3521024,no
52.4856365,13.3558089,yes
52.4860593,13.3566766,yes
52.4858649,13.3565345,yes
52.4858781,13.356934,yes
52.4858294,13.3570649,yes
52.4851117,13.3526606,no
52.4860967,13.3556625,no
52.4857214,13.3550173,yes
